old_name	 new_name
1-а Степова вулиця	1-ша Степова вулиця
1-а Суворівська вулиця	1-ша Суворівська вулиця
1-а Східна вулиця	1-ша Східна вулиця
1-а Текстильна вулиця	1-ша Текстильна вулиця
1-а Товщ вулиця	1-ша Товщ вулиця
1-а Трамвайна вулиця	1-ша Трамвайна вулиця
1-а Транспортна вулиця	1-ша Транспортна вулиця
1-а Цементна вулиця	1-ша Цементна вулиця
1-а Центральна вулиця	1-ша Центральна вулиця
1-а Червоносільська вулиця	1-ша Червоносільська вулиця
1-а Черепична вулиця	1-ша Черепична вулиця
1-а Чорноморська вулиця	1-ша Чорноморська вулиця
1-а Юрʼївська вулиця	1-ша Юрʼївська вулиця
1-а Яблунева вулиця	1-ша Яблунева вулиця
1-а Ялтинська вулиця	1-ша Ялтинська вулиця
1-ая Пирогова вулиця	1-ша Пирогова вулиця
1-го Грудня вулиця	1-го Грудня вулиця
1-го Грудня провулок	1-го Грудня провулок
1-го Листопада Бічна вулиця	1-го Листопада Бічна вулиця
1-го Листопада вулиця	1-го Листопада вулиця
1-го Мая	1-го Мая
1-го Мая вулиця	1-го Мая вулиця
1-го Січня провулок	1-го Січня провулок
1-го травня вулиця	1-го травня вулиця
1-го Травня вулиця	1-го Травня вулиця
1-го Травня площа	1-го Травня площа
1-го Травня провулок	1-го Травня провулок
1-го Травня проспект	1-го Травня проспект
1-го Травня тупик	1-го Травня тупик
1-ий Захарченка провулок	1-ий Захарченка провулок
1-ий К. Цеткін провулок	1-ий К. Цеткін провулок
1-ий Колгоспний провулок	1-ий Колгоспний провулок
1-ий Мазепи провулок	1-ий Мазепи провулок
1-ий Садовий провулок	1-ий Садовий провулок
1-ий Садовий тупик	1-ий Садовий тупик
1-і Плютенці вулиця	1-і Плютенці вулиця
1-ї Гвардійської Армії вулиця	1-ї Гвардійської Армії вулиця
1-ї Кінної Армії вулиця	1-ї Кінної Армії вулиця
1-ї Лікарні проїзд	1-ї Лікарні проїзд
1-ї П’ятирічки вулиця	1-ї Пʼятирічки вулиця
1-ї Ради провулок	1-ї Ради провулок
1-й 1-го Травня провулок	1-й 1-го Травня провулок
1-й 12-го Грудня провулок	1-й 12-го Грудня провулок
1-й 23-го Вересня провулок	1-й 23-го Вересня провулок
1-й 8 Травня провулок	1-й 8 Травня провулок
1-й 8-го Березня провулок	1-й 8-го Березня провулок
1-й 9 Травня провулок	1-й 9 Травня провулок
1-й Абрикосовий провулок	1-й Абрикосовий провулок
1-й Авіаторської тупик	1-й Авіаторської тупик
1-й Авіаційний провулок	1-й Авіаційний провулок
1-й Автомобілістів проїзд	1-й Автомобілістів проїзд
1-й Аграрний тупик	1-й Аграрний тупик
1-й Адмірала Лозівського провулок	1-й Адмірала Лозівського провулок
1-й Аеродромний провулок	1-й Аеродромний провулок
1-й Аеродромний проезд	1-й Аеродромний проезд
1-й Аеропортівський провулок	1-й Аеропортівський провулок
1-й Айвазовського провулок	1-й Айвазовського провулок
1-й Академіка Вернадського проїзд	1-й Академіка Вернадського проїзд
1-й Академіка Корольова провулок	1-й Академіка Корольова провулок
1-й Академіка Пирогова провулок	1-й Академіка Пирогова провулок
1-й Алебастровий провулок	1-й Алебастровий провулок
1-й Альтинський провулок	1-й Альтинський провулок
1-й Амундсена провулок	1-й Амундсена провулок
1-й Амурський провулок	1-й Амурський провулок
1-й Ангарський проїзд	1-й Ангарський проїзд
1-й Андріївський провулок	1-й Андріївський провулок
1-й Антона Турчановича провулок	1-й Антона Турчановича провулок
1-й Аптекарської провулок	1-й Аптекарської провулок
1-й Аравійський в’їзд	1-й Аравійський вʼїзд
1-й Аріадни Стебельської провулок	1-й Аріадни Стебельської провулок
1-й Арктичний провулок	1-й Арктичний провулок
1-й Артилерійський провулок	1-й Артилерійський провулок
1-й Б. Хмельницького провулок	1-й Б. Хмельницького провулок
1-й Бадаєва Павла провулок	1-й Бадаєва Павла провулок
1-й Бадаєва провулок	1-й Бадаєва провулок
1-й Базарний провулок	1-й Базарний провулок
1-й Байрона в’їзд	1-й Байрона вʼїзд
1-й Балтійський провулок	1-й Балтійський провулок
1-й Балтський провулок	1-й Балтський провулок
1-й Барашівський провулок	1-й Барашівський провулок
1-й Барвінковий проїзд	1-й Барвінковий проїзд
1-й Барський провулок	1-й Барський провулок
1-й Басейний провулок	1-й Басейний провулок
1-й Бахмацьких дивізій провулок	1-й Бахмацьких дивізій провулок
1-й Баштанський провулок	1-й Баштанський провулок
1-й Белорусский проезд	1-й Белорусский проезд
1-й Бердичівський провулок	1-й Бердичівський провулок
1-й Береговий провулок	1-й Береговий провулок
1-й Берегової провулок	1-й Берегової провулок
1-й Берегометський провулок	1-й Берегометський провулок
1-й Бережинський провулок	1-й Бережинський провулок
1-й Березівський провулок	1-й Березівський провулок
1-й Березовий провулок	1-й Березовий провулок
1-й Березовий проїзд	1-й Березовий проїзд
1-й Бестужева провулок	1-й Бестужева провулок
1-й Бібліотечний тупик	1-й Бібліотечний тупик
1-й Бірюковський провулок	1-й Бірюковський провулок
1-й Благовіщенської вулиці провулок	1-й Благовіщенської вулиці провулок
1-й Блюхера провулок	1-й Блюхера провулок
1-й Богдана Хмельницького провулок	1-й Богдана Хмельницького провулок
1-й Богунівський провулок	1-й Богунівський провулок
1-й Богунський провулок	1-й Богунський провулок
1-й Богунський проїзд	1-й Богунський проїзд
1-й Боенский проезд	1-й Боенский проезд
1-й Бойка провулок	1-й Бойка провулок
1-й Бойківської вулиці провулок	1-й Бойківської вулиці провулок
1-й Бойовий провулок	1-й Бойовий провулок
1-й Болгарський провулок	1-й Болгарський провулок
1-й Болгарський проїзд	1-й Болгарський проїзд
1-й Бориса Гмирі провулок	1-й Бориса Гмирі провулок
1-й Бориса Грінченка провулок	1-й Бориса Грінченка провулок
1-й Бориса Шкляра провулок	1-й Бориса Шкляра провулок
1-й Борисівки провулок	1-й Борисівки провулок
1-й Борисяка провулок	1-й Борисяка провулок
1-й Бортницький провулок	1-й Бортницький провулок
1-й Ботанічний провулок	1-й Ботанічний провулок
1-й Братський провулок	1-й Братський провулок
1-й Брестський провулок	1-й Брестський провулок
1-й Будівельників провулок	1-й Будівельників провулок
1-й Будьонного провулок	1-й Будьонного провулок
1-й Бузковий провулок	1-й Бузковий провулок
1-й Бузковий проїзд	1-й Бузковий проїзд
1-й Буковинський провулок	1-й Буковинський провулок
1-й Бульбенка провулок	1-й Бульбенка провулок
1-й Бульварний провулок	1-й Бульварний провулок
1-й В’ячеслава Чорновола провулок	1-й Вʼячеслава Чорновола провулок
1-й Вадима Пузирьова провулок	1-й Вадима Пузирьова провулок
1-й Валовий провулок	1-й Валовий провулок
1-й Вапняковий провулок	1-й Вапняковий провулок
1-й Варшавський провулок	1-й Варшавський провулок
1-й Василенкове Поле провулок	1-й Василенкове Поле провулок
1-й Василя Кандинського провулок	1-й Василя Кандинського провулок
1-й Василя Сліпака провулок	1-й Василя Сліпака провулок
1-й Василя Стефаника провулок	1-й Василя Стефаника провулок
1-й Васіле Александрі провулок	1-й Васіле Александрі провулок
1-й Ватутіна провулок	1-й Ватутіна провулок
1-й Вахрамеєва провулок	1-й Вахрамеєва провулок
1-й Вербовий провулок	1-й Вербовий провулок
1-й Верейського проїзд	1-й Верейського проїзд
1-й Верстатний в’їзд	1-й Верстатний вʼїзд
1-й Верхній Вокзальний провулок	1-й Верхній Вокзальний провулок
1-й Верхній проїзд	1-й Верхній проїзд
1-й Веселий провулок	1-й Веселий провулок
1-й Весніна провулок	1-й Весніна провулок
1-й Весняна вулиця	1-й Весняна вулиця
1-й Весняний провулок	1-й Весняний провулок
1-й Вечірній провулок	1-й Вечірній провулок
1-й Вижницький провулок	1-й Вижницький провулок
1-й Виноградний провулок	1-й Виноградний провулок
1-й Винокурний провулок	1-й Винокурний провулок
1-й Високовича провулок	1-й Високовича провулок
1-й Високовольтний в’їзд	1-й Високовольтний вʼїзд
1-й Високогірний проїзд	1-й Високогірний проїзд
1-й Вишневий провулок	1-й Вишневий провулок
1-й Вишневої вулиці провулок	1-й Вишневої вулиці провулок
1-й Вишневського провулок	1-й Вишневського провулок
1-й Віденський провулок	1-й Віденський провулок
1-й Відпочинку провулок	1-й Відпочинку провулок
1-й Відродження провулок	1-й Відродження провулок
1-й Військоматський провулок	1-й Військоматський провулок
1-й Віктора Блащука проїзд	1-й Віктора Блащука проїзд
1-й Віктора Горіна провулок	1-й Віктора Горіна провулок
1-й Віктора Мирутенка провулок	1-й Віктора Мирутенка провулок
1-й Вільний провулок	1-й Вільний провулок
1-й Вільський провулок	1-й Вільський провулок
1-й Вінницький провулок	1-й Вінницький провулок
1-й Вовчанський провулок	1-й Вовчанський провулок
1-й Водопійний провулок	1-й Водопійний провулок
1-й Водопровідний провулок	1-й Водопровідний провулок
1-й Воздвиженський провулок	1-й Воздвиженський провулок
1-й Возненський провулок	1-й Возненський провулок
1-й Вокзальний провулок	1-й Вокзальний провулок
1-й Волгоградський провулок	1-й Волгоградський провулок
1-й Володимира Великого провулок	1-й Володимира Великого провулок
1-й Володимира Івасюка провулок	1-й Володимира Івасюка провулок
1-й Володимира Свідзінського провулок	1-й Володимира Свідзінського провулок
1-й Володимирівський провулок	1-й Володимирівський провулок
1-й Волочаївський провулок	1-й Волочаївський провулок
1-й Волчанський провулок	1-й Волчанський провулок
1-й Воровського провулок	1-й Воровського провулок
1-й Ворошилова провулок	1-й Ворошилова провулок
1-й Врожайний проїзд	1-й Врожайний проїзд
1-й Г.Морозової провулок	1-й Г.Морозової провулок
1-й Г.Морозової проїзд	1-й Г.Морозової проїзд
1-й Гагаріна провулок	1-й Гагаріна провулок
1-й Газетний провулок	1-й Газетний провулок
1-й Гайдамацький провулок	1-й Гайдамацький провулок
1-й Гайдара вулиця	1-й Гайдара вулиця
1-й Гайдара провулок	1-й Гайдара провулок
1-й Генерала Арабея проїзд	1-й Генерала Арабея проїзд
1-й Генетичний провулок	1-й Генетичний провулок
1-й Географічний проїзд	1-й Географічний проїзд
1-й Георгіївський в’їзд	1-й Георгіївський вʼїзд
1-й Георгіївської вулиці провулок	1-й Георгіївської вулиці провулок
1-й Героїв України провулок	1-й Героїв України провулок
1-й Героїв Чорнобиля провулок	1-й Героїв Чорнобиля провулок
1-й Герцена провулок	1-й Герцена провулок
1-й Гетьмана Дорошенка провулок	1-й Гетьмана Дорошенка провулок
1-й Гетьмана Сагайдачного провулок	1-й Гетьмана Сагайдачного провулок
1-й Гетьмана Скоропадського провулок	1-й Гетьмана Скоропадського провулок
1-й Глазунова провулок	1-й Глазунова провулок
1-й Глинський провулок	1-й Глинський провулок
1-й Глінки провулок	1-й Глінки провулок
1-й Гната Танцюри провулок	1-й Гната Танцюри провулок
1-й Гната Юри проїзд	1-й Гната Юри проїзд
1-й Гніванське шосе провулок	1-й Гніванське шосе провулок
1-й Гоголівський провулок	1-й Гоголівський провулок
1-й Гоголя провулок	1-й Гоголя провулок
1-й Горіхівський провулок	1-й Горіхівський провулок
1-й Горіховий проїзд	1-й Горіховий проїзд
1-й Горовий провулок	1-й Горовий провулок
1-й Горького провулок	1-й Горького провулок
1-й Госпітальний провулок	1-й Госпітальний провулок
1-й Гостинний в'їзд	1-й Гостинний вʼїзд
1-й Гранітний провулок	1-й Гранітний провулок
1-й Грибоєдова провулок	1-й Грибоєдова провулок
1-й Григорія Сковороди вулиці провулок	1-й Григорія Сковороди вулиці провулок
1-й Григорія Чупринки провулок	1-й Григорія Чупринки провулок
1-й Грідротехнічний проїзд	1-й Грідротехнічний проїзд
1-й Громова провулок	1-й Громова провулок
1-й Груньський провулок	1-й Груньський провулок
1-й Грушевського провулок	1-й Грушевського провулок
1-й Ґданський провулок	1-й Ґданський провулок
1-й Ґданський тупик	1-й Ґданський тупик
1-й Далекий провулок	1-й Далекий провулок
1-й Данила Галицького провулок	1-й Данила Галицького провулок
1-й Данила Нечая провулок	1-й Данила Нечая провулок
1-й Данилівський провулок	1-й Данилівський провулок
1-й Дачний провулок	1-й Дачний провулок
1-й Декабристів провулок	1-й Декабристів провулок
1-й Дениса Квітковського провулок	1-й Дениса Квітковського провулок
1-й Деповський провулок	1-й Деповський провулок
1-й Деповський тупик	1-й Деповський тупик
1-й Деревообробний провулок	1-й Деревообробний провулок
1-й Джамбула провулок	1-й Джамбула провулок
1-й Джерельний провулок	1-й Джерельний провулок
1-й Дзержинського провулок	1-й Дзержинського провулок
1-й Димитрова провулок	1-й Димитрова провулок
1-й Димківський провулок	1-й Димківський провулок
1-й Дніпровський провулок	1-й Дніпровський провулок
1-й Дніпровський проїзд	1-й Дніпровський проїзд
1-й Добролюбова провулок	1-й Добролюбова провулок
1-й Довженка провулок	1-й Довженка провулок
1-й Докучаєва проїзд	1-й Докучаєва проїзд
1-й Дорошенківський в’їзд	1-й Дорошенківський вʼїзд
1-й Дорошенківський провулок	1-й Дорошенківський провулок
1-й Достоєвського в’їзд	1-й Достоєвського вʼїзд
1-й Дробильний провулок	1-й Дробильний провулок
1-й Другої П'ятирічки провулок	1-й Другої Пʼятирічки провулок
1-й Дружби провулок	1-й Дружби провулок
1-й Дружби тупик	1-й Дружби тупик
1-й Дружний провулок	1-й Дружний провулок
1-й Дубініна провулок	1-й Дубініна провулок
1-й Дудіна провулок	1-й Дудіна провулок
1-й Дунаєвського провулок	1-й Дунаєвського провулок
1-й Дунайський провулок	1-й Дунайський провулок
1-й Дундича провулок	1-й Дундича провулок
1-й Евенський провулок	1-й Евенський провулок
1-й Електронний провулок	1-й Електронний провулок
1-й Електронний проїзд	1-й Електронний проїзд
1-й Енергетиків провулок	1-й Енергетиків провулок
1-й Енергетиків проїзд	1-й Енергетиків проїзд
1-й Євгена Чикаленка провулок	1-й Євгена Чикаленка провулок
1-й Жилярді в’їзд	1-й Жилярді вʼїзд
1-й Житловий провулок	1-й Житловий провулок
1-й Житній провулок	1-й Житній провулок
1-й Житомирський провулок	1-й Житомирський провулок
1-й Жовтневий в’їзд	1-й Жовтневий вʼїзд
1-й Жовтневий провулок	1-й Жовтневий провулок
1-й Жовтневої вулиці провулок	1-й Жовтневої вулиці провулок
1-й Жукова провулок	1-й Жукова провулок
1-й Журавський провулок	1-й Журавський провулок
1-й Журналістів проїзд	1-й Журналістів проїзд
1-й Заводський провулок	1-й Заводський провулок
1-й Заводський тупик	1-й Заводський тупик
1-й Завокзальний провулок	1-й Завокзальний провулок
1-й Загребелля провулок	1-й Загребелля провулок
1-й Загребельний провулок	1-й Загребельний провулок
1-й Задніпровського провулок	1-й Задніпровського провулок
1-й Заливний провулок	1-й Заливний провулок
1-й Залізничний провулок	1-й Залізничний провулок
1-й Залізничної вулиці провулок	1-й Залізничної вулиці провулок
1-й Замковий провулок	1-й Замковий провулок
1-й Заозерний провулок	1-й Заозерний провулок
1-й Заорільський провулок	1-й Заорільський провулок
1-й Зарічний провулок	1-й Зарічний провулок
1-й Засульський провулок	1-й Засульський провулок
1-й Затишний тупик	1-й Затишний тупик
1-й Затонського провулок	1-й Затонського провулок
1-й Західний провулок	1-й Західний провулок
1-й Збаразький провулок	1-й Збаразький провулок
1-й Звенигородський провулок	1-й Звенигородський провулок
1-й Звенигородський проїзд	1-й Звенигородський проїзд
1-й Звягельський провулок	1-й Звягельський провулок
1-й Зелений провулок	1-й Зелений провулок
1-й Зеленодільський проїзд	1-й Зеленодільський проїзд
1-й Зелінського провулок	1-й Зелінського провулок
1-й Зерновий проїзд	1-й Зерновий проїзд
1-й Зірковий проїзд	1-й Зірковий проїзд
1-й Злагоди провулок	1-й Злагоди провулок
1-й Золотий в’їзд	1-й Золотий вʼїзд
1-й Золочівський провулок	1-й Золочівський провулок
1-й Зоологічний провулок	1-й Зоологічний провулок
1-й Зорге провулок	1-й Зорге провулок
1-й І.Франка провулок	1-й І.Франка провулок
1-й Івана Богуна провулок	1-й Івана Богуна провулок
1-й Івана Виговського провулок	1-й Івана Виговського провулок
1-й Івана Липи провулок	1-й Івана Липи провулок
1-й Івана Мазепи провулок	1-й Івана Мазепи провулок
1-й Івана Підкови провулок	1-й Івана Підкови провулок
1-й Івана Пулюя проїзд	1-й Івана Пулюя проїзд
1-й Івана Франка провулок	1-й Івана Франка провулок
1-й Івана Хоменка провулок	1-й Івана Хоменка провулок
1-й Івана Чирки провулок	1-й Івана Чирки провулок
1-й Іванова провулок	1-й Іванова провулок
1-й Ігоря Костецького провулок	1-й Ігоря Костецького провулок
1-й Ігоря Муратова провулок	1-й Ігоря Муратова провулок
1-й Ігоря Сікорського провулок	1-й Ігоря Сікорського провулок
1-й Іларія Карбулицького провулок	1-й Іларія Карбулицького провулок
1-й Іллі Рєпіна в'їзд	1-й Іллі Рєпіна вʼїзд
1-й Іллінської вулиці провулок	1-й Іллінської вулиці провулок
1-й Інгульський провулок	1-й Інгульський провулок
1-й Індустріальний провулок	1-й Індустріальний провулок
1-й Індустріальний тупик	1-й Індустріальний тупик
1-й Інтернатський провулок	1-й Інтернатський провулок
1-й Іподромний провулок	1-й Іподромний провулок
1-й Істомінський провулок	1-й Істомінський провулок
1-й Кавалерідзе вулиці провулок	1-й Кавалерідзе вулиці провулок
1-й Казнівський провулок	1-й Казнівський провулок
1-й Калинівський провулок	1-й Калинівський провулок
1-й Калиновий провулок	1-й Калиновий провулок
1-й Калініна провулок	1-й Калініна провулок
1-й Кам’янецький проїзд	1-й Камʼянецький проїзд
1-й Кам’янопотіцької провулок	1-й Камʼянопотіцької провулок
1-й Капітульний провулок	1-й Капітульний провулок
1-й Кар’єрний провулок	1-й Карʼєрний провулок
1-й Каракульний провулок	1-й Каракульний провулок
1-й Карасика провулок	1-й Карасика провулок
1-й Карбишева провулок	1-й Карбишева провулок
1-й Карбишева проїзд	1-й Карбишева проїзд
1-й Карла Маркса провулок	1-й Карла Маркса провулок
1-й Кармелюка провулок	1-й Кармелюка провулок
1-й Карпатський провулок	1-й Карпатський провулок
1-й Карпатський проїзд	1-й Карпатський проїзд
1-й Каспийский проезд	1-й Каспийский проезд
1-й Каті Зеленко провулок	1-й Каті Зеленко провулок
1-й Каховський провулок	1-й Каховський провулок
1-й Каховський проїзд	1-й Каховський проїзд
1-й Каштановий провулок	1-й Каштановий провулок
1-й Каштановий проїзд	1-й Каштановий проїзд
1-й квартал	1-й квартал
1-й Кварцівський провулок	1-й Кварцівський провулок
1-й Квітковий провулок	1-й Квітковий провулок
1-й Квітневий провулок	1-й Квітневий провулок
1-й Квітучий провулок	1-й Квітучий провулок
1-й Керамічний провулок	1-й Керамічний провулок
1-й Керченський провулок	1-й Керченський провулок
1-й Кибальчича провулок	1-й Кибальчича провулок
1-й Київський провулок	1-й Київський провулок
1-й Київський проїзд	1-й Київський проїзд
1-й Київський тупик	1-й Київський тупик
1-й Київської вулиці провулок	1-й Київської вулиці провулок
1-й Кипарисний провулок	1-й Кипарисний провулок
1-й Кирила Бочкарьова тупик	1-й Кирила Бочкарьова тупик
1-й Кирпичний тупик	1-й Кирпичний тупик
1-й Китобійний провулок	1-й Китобійний провулок
1-й Кільцевий провулок	1-й Кільцевий провулок
1-й Кільченський провулок	1-й Кільченський провулок
1-й Кірова провулок	1-й Кірова провулок
1-й Кіровський провулок	1-й Кіровський провулок
1-й Ключевий провулок	1-й Ключевий провулок
1-й км Новомиколаївської дороги	1-й км Новомиколаївської дороги
1-й Книжковецький проїзд	1-й Книжковецький проїзд
1-й Кобзарський провулок	1-й Кобзарський провулок
1-й Ковалевської провулок	1-й Ковалевської провулок
1-й Ковальський провулок	1-й Ковальський провулок
1-й Ковпака провулок	1-й Ковпака провулок
1-й Козацький провулок	1-й Козацький провулок
